Read,map
4.330357,Unmapped
5.965972,Unmapped
4.416005,Unmapped
2.853275,Unmapped
4.58657,Unmapped
3.520689,Unmapped
4.240573,Unmapped
4.05531,Unmapped
4.831486,Unmapped
4.003545,Unmapped
4.385581,Unmapped
3.383621,Unmapped
4.636063,Unmapped
4.182789,Unmapped
3.206275,Unmapped
4.293583,Unmapped
4.659433,Unmapped
4.587814,Unmapped
4.209779,Unmapped
4.505075,Unmapped
6.631622,Unmapped
4.096389,Unmapped
3.844735,Unmapped
4.149201,Unmapped
4.174815,Unmapped
3.439594,Unmapped
3.977081,Unmapped
3.949204,Unmapped
4.179059,Unmapped
4.82851,Unmapped
4.430902,Unmapped
3.936771,Unmapped
4.577101,Unmapped
4.52871,Unmapped
5.768574,Unmapped
4.050747,Unmapped
3.530887,Unmapped
3.72316,Unmapped
5.323686,Unmapped
4.055075,Unmapped
3.773177,Unmapped
3.660352,Unmapped
3.901708,Unmapped
4.268311,Unmapped
4.216312,Unmapped
3.58878,Unmapped
4.086034,Unmapped
5.179228,Unmapped
4.146437,Unmapped
4.197344,Unmapped
2.727845,Unmapped
2.746115,Unmapped
3.706678,Unmapped
4.486879,Unmapped
4.530483,Unmapped
4.322452,Unmapped
4.436726,Unmapped
6.483774,Unmapped
4.519512,Unmapped
5.53344,Unmapped
5.893778,Unmapped
6.363423,Unmapped
5.48702,Unmapped
6.502309,Unmapped
6.503468,Unmapped
5.098749,Unmapped
5.989653,Unmapped
5.810611,Unmapped
3.191801,Unmapped
6.013707,Unmapped
5.677642,Unmapped
5.449414,Unmapped
5.617767,Unmapped
6.871268,Unmapped
5.422372,Unmapped
7.08447,Unmapped
5.821096,Unmapped
5.183565,Unmapped
7.049078,Unmapped
2.92132,Unmapped
5.383874,Unmapped
5.313247,Unmapped
4.871319,Unmapped
8.331372,Unmapped
6.740064,Unmapped
4.855281,Unmapped
7.811327,Unmapped
6.496472,Unmapped
7.158812,Unmapped
7.322654,Unmapped
4.474466,Unmapped
6.125513,Unmapped
5.331297,Unmapped
3.903809,Unmapped
4.996497,Unmapped
4.141065,Unmapped
3.407886,Unmapped
4.075756,Unmapped
3.859097,Unmapped
3.63209,Unmapped
2.870211,Unmapped
4.070202,Unmapped
3.516652,Unmapped
4.740367,Unmapped
3.781699,Unmapped
3.779405,Unmapped
3.460163,Unmapped
4.4782,Unmapped
4.526233,Unmapped
4.309505,Unmapped
3.442234,Unmapped
4.147913,Unmapped
4.553738,Unmapped
4.640248,Unmapped
4.139026,Unmapped
4.905354,Unmapped
4.122745,Unmapped
4.385171,Unmapped
6.042164,Unmapped
3.688582,Unmapped
3.528213,Unmapped
3.879451,Unmapped
4.860863,Unmapped
4.135903,Unmapped
2.990071,Unmapped
3.599075,Unmapped
5.019771,Unmapped
3.307739,Unmapped
5.110428,Unmapped
4.130144,Unmapped
4.413664,Unmapped
4.648364,Unmapped
3.863117,Unmapped
3.713767,Unmapped
4.077311,Unmapped
3.550817,Unmapped
3.923861,Unmapped
3.706954,Unmapped
3.788816,Unmapped
3.443042,Unmapped
3.669988,Unmapped
3.585616,Unmapped
4.697086,Unmapped
4.591419,Unmapped
7.579385,Unmapped
4.794496,Unmapped
3.516181,Unmapped
4.836245,Unmapped
4.824285,Unmapped
4.409246,Unmapped
4.349849,Unmapped
4.107249,Unmapped
4.246984,Unmapped
3.94403,Unmapped
4.783563,Unmapped
5.895511,Unmapped
4.510457,Unmapped
5.266715,Unmapped
4.602233,Unmapped
5.144249,Unmapped
6.056954,Unmapped
5.458999,Unmapped
4.899787,Unmapped
4.337551,Unmapped
6.30577,Unmapped
5.818989,Unmapped
3.420026,Unmapped
4.559893,Unmapped
